id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
3BFF0DJK8XA7YNK4QYIGCOG1A95STE##3180JW2OT5AF02OISBX66RFOCTG5J7##A2LTOS0AZ3B28A##Blog_56156##q1_a1##378G7J1SJNCDAAIN46FM2P7T6KZEW2,"Do i need to go for a legal divorce ? I wanted to marry a woman but she is not in the same religion , so i am not concern of the marriage inside church . I will do the marriage registered with the girl who i am going to get married . But legally will there be any complication , like if the other woman comes back one day , will the girl who i am going to get married now will be in trouble or Is there any complication ?",Why is this person asking about divorce ?,If he gets married in the church he wo nt have to get a divorce .,He wants to get married to a different person .,He wants to know if he does nt like this girl can he divorce her ?,None of the above choices .,1,0,[ 0.415 -1.417 -3.531  0.323],2,[-26.991198 -22.704725 -21.860481 -25.818853]
3FSEU3P2NRYIHT7Z7KDGMZAN0V7RRC##38BQUHLA9XYR9K0L0N6XVP7WYMLMOB##AGUF6B4Q9991D##Blog_412956##q1_a1##38G0E1M85OJHKHF44WPVK5AIL1DVUG,"I watched the first McCain / Obama debate last night . It was full of moments I had to pause the DVR because I had to discuss what they were saying with my husband . I learned a lot about the Iraq war and Afghanistan , and I saw both McCain and Obama make some going points , and I saw them both make some blunders .",How would this person be classified ?,Moderate,Liberal,Conservative,None of the above choices .,0,1,[ 0.2087  5.36   -0.4717 -3.893 ],1,[-22.84149  -15.120895 -22.717722 -26.806221]
3FSEU3P2NRYIHT7Z7KDGMZAN0V7RRC##38BQUHLA9XYR9K0L0N6XVP7WYMLMOB##AGUF6B4Q9991D##Blog_412956##q1_a2##38F60IALAIVMR3ZZ1UBWUGYQ8RU0T3,"I watched the first McCain / Obama debate last night . It was full of moments I had to pause the DVR because I had to discuss what they were saying with my husband . I learned a lot about the Iraq war and Afghanistan , and I saw both McCain and Obama make some going points , and I saw them both make some blunders .",How would this person be classified ?,None of the above choices .,Liberal,Conservative,Indpendent,3,1,[-3.893   5.36   -0.4717 -2.557 ],1,[-26.806221 -15.120895 -22.717722 -25.068123]
30Z7M1Q8U0YZUW5TQYXUSQEG3RAA8M##3JJVG1YBEECOD8PDOGWP01KKAG95BZ##A1OPGPTQJ48XOY##Blog_591892##q1_a1##3HY86PZXP0WK992K7IQ19ZHZAAWE1F,"I exited the plane as rear float , facing forward . One I began riding off the hill I became unstable and worked from my feet to my arms to regain the stablity . First I corrected my feet trying to keep them level and stable .",Why did you exit the plane from a float ?,The pilot wanted to test out the floats and decided to use them,The pilot was running a test landing and wanted to see how we did exiting via the floats,None of the above choices .,The plane had to have an emergency landing and that meant they used an emergency landing procedure which involved the floats,3,3,[-1.589  2.984 -1.551  3.145],1,[-25.174091 -18.781977 -26.938803 -19.41391 ]
3O4VWC1GEW49033KOP3B2ALGKVF3J0##37M28K1J0RBC680ZN7ONE2VA53WJAZ##A1S1K7134S2VUC##Blog_1085807##q1_a2##33IXYHIZB7WRYUKGQMQFEIR42DZ2E3,I spoke with mom a few days before Baby E 's 6month session . She was worried because he was n't sitting up yet that his photos would be the same as his 3month ones . I assured her that he would have WAY more personality in these and we could do some fun things with him . I brought along props to sit him in to help him sit up and we went to town shooting .... this turned out to be one of my favorite sessions I have EVER had .,Is it important to Baby E to have his photo taken ?,It makes no difference to Baby E what is going on around him .,Baby E is excited to have is his photo taken no matter the time .,Baby E was annoyed with the quality of the 3 month photos and wanted to redo them .,None of the above choices .,0,1,[-1.905  3.773 -2.676 -2.062],1,[-31.107227 -24.197475 -28.35834  -25.281334]
3O4VWC1GEW49033KOP3B2ALGKVF3J0##37M28K1J0RBC680ZN7ONE2VA53WJAZ##A1S1K7134S2VUC##Blog_1085807##q1_a1##311HQEI8RUUWVQ8ISLLNVJ9U1ZU7ZU,I spoke with mom a few days before Baby E 's 6month session . She was worried because he was n't sitting up yet that his photos would be the same as his 3month ones . I assured her that he would have WAY more personality in these and we could do some fun things with him . I brought along props to sit him in to help him sit up and we went to town shooting .... this turned out to be one of my favorite sessions I have EVER had .,Is it important to Baby E to have his photo taken ?,Baby E is excited to have is his photo taken no matter the time .,Baby E was annoyed with the quality of the 3 month photos and wanted to redo them .,Baby E has a personality that likes to go to town shooting photos .,None of the above choices .,3,0,[ 3.773 -2.676 -4.54  -2.062],0,[-24.197475 -28.35834  -30.82837  -25.281334]
3TRB893CSJ8HAKE6IVLYIE5GXP4G72##3D3VGR7TA1DTKBKRMXIMTL3V6L5R3T##A2KYOM2ZGYDJGT##Blog_1373342##q1_a1##35ZRNT9RUKC2V3TOO07G24QACLHO30,"I ' ve never traditionally been picky about my mouse pad . Any old felt pad I picked up through some promotion booth would suit me fine , and I was none the wiser . I was often irked by the size of these standard pads , finding them too small for FPS gaming or even normal mouse use in a dual - monitor setup . Let me tell you how the Evo - G MP1 mouse pad has forever changed my feelings about a deceptively important accessory . """,Why did the writer have a problem with the mouse pads ?,They picked the pads up at promotion booths,They were too small for FPS gaming,Their feelings have been changed since trying the Evo - G MP1 pad,They 've never been picky about mouse pads,1,2,[-4.344  -2.283  -0.2225 -4.8   ],2,[-24.359905 -21.968826 -12.27787  -24.067217]
3LB1BGHFL2U4U9WDP4A5UA42RO5TYL##34J10VATJGW8YDNAUL09S1VFUGPQIF##AO33H4GL9KZX9##Blog_1291115##q1_a1##3CKVGCS3PIJLC3MKCU66KB2461FS0R,"Robin had been working on bringing two of every meal out the kitchen door ever since Barney had arrived . She was definitely starting to feel taxed because moral support was one thing . Bringing alcohol , conversation , entertainment and food ? That was something else entirely but it was n't like she was going to abandon him or make Marshall do it all .",Why would Robin take on so many things to do when it 's so taxing ?,"Because Robin knew it was her duty , but not the responsibility .",Because Robin felt no duty to do it herself except for the show .,Because Robin felt the responsibility but not duty to do it herself .,Because Robin felt the responsibility and duty to do it herself .,3,2,[ 4.75  -4.133  5.5    4.113],2,[-24.15518  -28.845098 -17.404602 -18.931967]
3Y3CZJSZ9KRTC691AD0DJY5R840R5Y##39U1BHVTDMP60QXJQMNHT04DW1D3TL##AGUF6B4Q9991D##Blog_491774##q2_a1##3ZVPAMTJWPH6MSXSB7V4FTKORLZGRI,"I did glare at her , though . I was probably only in there 40 hours total . I knew what to say to get out , and I played their stupid little games . I swallowed their pills , and I agreed to enroll in their partial hospitalization program if they would just let me go home .",What can be assumed about the narrator ?,She does n't know her way around the system,She knows how go through motions,She knows how to get into a facility,None of the above choices .,1,0,[ 2.094 -4.77  -2.398 -3.848],0,[-21.480543 -21.961533 -28.994566 -27.050333]
3NQUW096N8MG4KF7SHSY10P2HIYL9T##34X6J5FLPWDJOD6NW0X9W0YOFP6QJ0##A33PQXKQHFVF3V##Blog_1209097##q1_a1##3CKVGCS3PIJLC3MKCU66KB246C0S0Y,"One that would never cease to stalk my nights , burn my skin with envy , like I burned now . It rained just so I felt like I had someone beside me , consoling me , though somewhere I still wished it were her instead . But she was like the wind that whistled , never turned .",How do I feel about this person that is with me ?,She consoles me and makes me feel better about myself .,None of the above choices .,She stalks me and honestly it is kind of weird .,I do n't really like her as much as I like the other girl .,3,0,[ 3.814 -1.91  -2.967  1.173],2,[-24.49039  -25.436426 -18.92086  -20.975397]
